"Week","Infected","Susceptibles"
229,405.326157975638,30044.6983273916
230,365.337064217361,29799.3612631743
231,326.604334783219,29592.756928391
232,289.95368072996,29422.8032476611
233,255.937502971582,29286.8657446895
234,224.868218656794,29181.9975260327
235,196.863114015778,29105.1344120169
236,171.891821825923,29053.242590191
237,149.820443963353,29023.4221462277
238,130.449059738509,29012.9730864891
239,113.541451780536,29019.4316347086
240,98.8472519295244,29040.5843827791
241,86.1174588199553,29074.4669239591
242,75.1145762410861,29119.352347718
243,65.6186343604115,29173.7337133576
244,57.4302169639447,29236.3034963937
245,50.3714175906487,29305.932078803
246,44.2854402787373,29381.6466385243
247,39.0353747250399,29462.6112637993
248,34.5025221318176,29548.1087416674
249,30.584528274382,29637.5242133931
250,27.193490918616,29730.3307224744
251,24.2541443552718,29826.0765781192
252,21.7021790063128,29924.3743991129
253,19.4827238958441,30024.891675217
254,17.5490002353264,30127.3426749817
255,15.8611423107904,30231.4815326709
256,14.3851749256718,30337.0963577452
257,13.0921331352938,30444.0042246099
258,11.9573086944012,30552.0469159155
259,10.9596076865829,30661.0873082289
260,10.0810046442676,30771.0063035847
261,9.30607972365677,30881.700223861
262,8.6216269285596,30993.0785969325
263,8.01632283090831,31105.0622741016
264,7.48044662594115,31217.5818274756
265,7.00564363954146,31330.5761838361
266,6.58472555296381,31443.9914582831
267,6.21150162127597,31557.7799566618
268,5.88063604094026,31671.8993206209
269,5.58752737889624,31786.311793242
270,5.32820662256616,31900.9835866194
271,5.09925096037801,32015.8843356591
272,4.89771086837882,32130.9866247907
273,4.72104847211915,32246.2655763186
274,4.56708548491881,32361.6984908336
275,4.43395930334416,32477.2645315303
276,4.32008607650244,32592.9444454538
277,4.22412976473068,32708.7203156891
278,4.14497637155259,32824.5753393175
279,4.08171267563157,32940.4936266419
280,4.03360891132276,33056.4600177306
281,4.00010495112907,33172.4599127794
282,3.98079963414719,33288.4791131453
283,3.97544296424775,33404.503670181
284,3.98393097269428,33520.5197392083
285,4.00630310429526,33636.513436104
286,4.04274204590199,33752.4706940581
287,4.09357597283831,33868.3771180853
288,4.15928324428862,33984.217834841
289,4.24049963432126,34099.9773352067
290,4.33802824260922,34215.6393069641
291,4.45285228957621,34331.1864546745
292,4.58615106625695,34446.6003036082
293,4.7393193813396,34561.8609842269
294,4.91399092853134,34676.9469932984
295,5.11206608862691,34791.8349272097
296,5.33574478477483,34906.499182425
297,5.58756512902113,35020.9116172959
298,5.87044873618001,35135.0411685598
299,6.18775374070813,35248.8534148191
300,6.54333673719657,35362.3100780819
